<svg width="400" height="400" viewBox="0 0 400 400">
  <rect x="0" y="0" width="400" height="400" fill="#F7F7F7" />
  
  <rect x="0" y="0" width="50" height="50" fill="#B58863" />
  <rect x="100" y="0" width="50" height="50" fill="#B58863" />
  <rect x="200" y="0" width="50" height="50" fill="#B58863" />
  <rect x="300" y="0" width="50" height="50" fill="#B58863" />
  
  <rect x="50" y="50" width="50" height="50" fill="#F0D9B5" />
  <rect x="150" y="50" width="50" height="50" fill="#F0D9B5" />
  <rect x="250" y="50" width="50" height="50" fill="#F0D9B5" />
  <rect x="350" y="50" width="50" height="50" fill="#F0D9B5" />
  
  <rect x="0" y="100" width="50" height="50" fill="#B58863" />
  <rect x="100" y="100" width="50" height="50" fill="#B58863" />
  <rect x="200" y="100" width="50" height="50" fill="#B58863" />
  <rect x="300" y="100" width="50" height="50" fill="#B58863" />
  
  <rect x="50" y="150" width="50" height="50" fill="#F0D9B5" />
  <rect x="150" y="150" width="50" height="50" fill="#F0D9B5" />
  <rect x="250" y="150" width="50" height="50" fill="#F0D9B5" />
  <rect x="350" y="150" width="50" height="50" fill="#F0D9B5" />
  
  <rect x="0" y="200" width="50" height="50" fill="#B58863" />
  <rect x="100" y="200" width="50" height="50" fill="#B58863" />
  <rect x="200" y="200" width="50" height="50" fill="#B58863" />
  <rect x="300" y="200" width="50" height="50" fill="#B58863" />
  
  <rect x="50" y="250" width="50" height="50" fill="#F0D9B5" />
  <rect x="150" y="250" width="50" height="50" fill="#F0D9B5" />
  <rect x="250" y="250" width="50" height="50" fill="#F0D9B5" />
  <rect x="350" y="250" width="50" height="50" fill="#F0D9B5" />
  
  <rect x="0" y="300" width="50" height="50" fill="#B58863" />
  <rect x="100" y="300" width="50" height="50" fill="#B58863" />
  <rect x="200" y="300" width="50" height="50" fill="#B58863" />
  <rect x="300" y="300" width="50" height="50" fill="#B58863" />
</svg>
